#Region, String, Module x, Latitude1, Longitude1, Latitude2, Longitude2, Latitude3, Longitude3, Latitude4, Longitude4
North_G01_IV01, S02,29,-4.442380789,40.71222187,-4.442381056,40.71223216,-4.442405057,40.7122318,-4.44240479,40.71222151
North_G01_IV01, S02,18,-4.442384015,40.71235122,-4.442384244,40.71236153,-4.442408247,40.71236122,-4.442408017,40.71235091
North_G01_IV01, S02,19,-4.442383785,40.71234091,-4.442384015,40.71235122,-4.442408017,40.71235091,-4.442407788,40.7123406
North_G01_IV01, S02,20,-4.442383556,40.7123306,-4.442383785,40.71234091,-4.442407788,40.7123406,-4.442407558,40.7123303
North_G01_IV01, S02,21,-4.442383326,40.71232029,-4.442383556,40.7123306,-4.442407558,40.7123303,-4.442407329,40.71231999
North_G01_IV01, S02,22,-4.442383097,40.71230999,-4.442383326,40.71232029,-4.442407329,40.71231999,-4.442407099,40.71230968
North_G01_IV01, S02,23,-4.442382867,40.71229968,-4.442383097,40.71230999,-4.442407099,40.71230968,-4.44240687,40.71229937
North_G01_IV01, S02,24,-4.442382638,40.71228937,-4.442382867,40.71229968,-4.44240687,40.71229937,-4.44240664,40.71228906
North_G01_IV01, S02,9,-4.442385664,40.71244536,-4.442385856,40.71245564,-4.44240986,40.71245538,-4.442409667,40.7124451
North_G01_IV01, S02,10,-4.442385471,40.71243508,-4.442385664,40.71244536,-4.442409667,40.7124451,-4.442409474,40.71243482
North_G01_IV01, S02,11,-4.442385278,40.71242479,-4.442385471,40.71243508,-4.442409474,40.71243482,-4.442409282,40.71242453
North_G01_IV01, S02,12,-4.442385086,40.71241451,-4.442385278,40.71242479,-4.442409282,40.71242453,-4.442409089,40.71241425
North_G01_IV01, S02,13,-4.442384893,40.71240423,-4.442385086,40.71241451,-4.442409089,40.71241425,-4.442408897,40.71240397
North_G01_IV01, S02,14,-4.442384701,40.71239394,-4.442384893,40.71240423,-4.442408897,40.71240397,-4.442408704,40.71239368
North_G01_IV01, S02,15,-4.442384508,40.71238366,-4.442384701,40.71239394,-4.442408704,40.71239368,-4.442408512,40.7123834
North_G01_IV01, S02,16,-4.442384315,40.71237338,-4.442384508,40.71238366,-4.442408512,40.7123834,-4.442408319,40.71237312
North_G01_IV01, S02,17,-4.442384123,40.71236309,-4.442384315,40.71237338,-4.442408319,40.71237312,-4.442408126,40.71236283
North_G01_IV01, S02,3,-4.442387128,40.71250871,-4.442387387,40.71251901,-4.442411388,40.71251866,-4.442411129,40.71250836
North_G01_IV01, S02,4,-4.442386869,40.7124984,-4.442387128,40.71250871,-4.442411129,40.71250836,-4.442410871,40.71249806
North_G01_IV01, S02,5,-4.44238661,40.7124881,-4.442386869,40.7124984,-4.442410871,40.71249806,-4.442410612,40.71248776
North_G01_IV01, S02,6,-4.442386351,40.7124778,-4.44238661,40.7124881,-4.442410612,40.71248776,-4.442410353,40.71247746
North_G01_IV01, S02,7,-4.442386092,40.7124675,-4.442386351,40.7124778,-4.442410353,40.71247746,-4.442410094,40.71246716
North_G01_IV01, S02,8,-4.442385833,40.7124572,-4.442386092,40.7124675,-4.442410094,40.71246716,-4.442409835,40.71245686
North_G01_IV01, S02,1,-4.442387728,40.71253083,-4.442388027,40.71254117,-4.442412027,40.71254077,-4.442411729,40.71253043
North_G01_IV01, S02,2,-4.44238743,40.71252048,-4.442387728,40.71253083,-4.442411729,40.71253043,-4.44241143,40.71252009
North_G01_IV01, S03,28,-4.442291504,40.7119345,-4.442291803,40.71194471,-4.442315803,40.71194431,-4.442315504,40.71193409
North_G01_IV01, S03,29,-4.442291206,40.71192428,-4.442291504,40.7119345,-4.442315504,40.71193409,-4.442315206,40.71192388
North_G01_IV01, S03,21,-4.442293193,40.71200791,-4.442293456,40.71201818,-4.442317457,40.71201783,-4.442317194,40.71200756
North_G01_IV01, S03,22,-4.442292929,40.71199765,-4.442293193,40.71200791,-4.442317194,40.71200756,-4.442316931,40.7119973
North_G01_IV01, S03,23,-4.442292666,40.71198738,-4.442292929,40.71199765,-4.442316931,40.7119973,-4.442316667,40.71198703
North_G01_IV01, S03,24,-4.442292403,40.71197712,-4.442292666,40.71198738,-4.442316667,40.71198703,-4.442316404,40.71197676
North_G01_IV01, S03,25,-4.442292139,40.71196685,-4.442292403,40.71197712,-4.442316404,40.71197676,-4.442316141,40.7119665
North_G01_IV01, S03,26,-4.442291876,40.71195659,-4.442292139,40.71196685,-4.442316141,40.7119665,-4.442315877,40.71195623
North_G01_IV01, S03,27,-4.442291613,40.71194632,-4.442291876,40.71195659,-4.442315877,40.71195623,-4.442315614,40.71194597
North_G01_IV01, S03,12,-4.442295457,40.7121019,-4.442295698,40.71211216,-4.4423197,40.71211184,-4.442319459,40.71210157
North_G01_IV01, S03,13,-4.442295216,40.71209163,-4.442295457,40.7121019,-4.442319459,40.71210157,-4.442319218,40.71209131
North_G01_IV01, S03,14,-4.442294975,40.71208136,-4.442295216,40.71209163,-4.442319218,40.71209131,-4.442318977,40.71208104
North_G01_IV01, S03,15,-4.442294734,40.7120711,-4.442294975,40.71208136,-4.442318977,40.71208104,-4.442318736,40.71207077
North_G01_IV01, S03,16,-4.442294493,40.71206083,-4.442294734,40.7120711,-4.442318736,40.71207077,-4.442318495,40.71206051
North_G01_IV01, S03,17,-4.442294252,40.71205056,-4.442294493,40.71206083,-4.442318495,40.71206051,-4.442318254,40.71205024
North_G01_IV01, S03,18,-4.442294011,40.71204029,-4.442294252,40.71205056,-4.442318254,40.71205024,-4.442318013,40.71203997
North_G01_IV01, S03,19,-4.44229377,40.71203003,-4.442294011,40.71204029,-4.442318013,40.71203997,-4.442317772,40.7120297
North_G01_IV01, S03,20,-4.442293528,40.71201976,-4.44229377,40.71203003,-4.442317772,40.7120297,-4.442317531,40.71201944
North_G01_IV01, S03,3,-4.44229786,40.71219637,-4.442298096,40.7122067,-4.442322098,40.71220638,-4.442321862,40.71219605
North_G01_IV01, S03,4,-4.442297624,40.71218604,-4.44229786,40.71219637,-4.442321862,40.71219605,-4.442321627,40.71218572
North_G01_IV01, S03,5,-4.442297389,40.71217571,-4.442297624,40.71218604,-4.442321627,40.71218572,-4.442321391,40.7121754
North_G01_IV01, S03,6,-4.442297153,40.71216538,-4.442297389,40.71217571,-4.442321391,40.7121754,-4.442321155,40.71216507
North_G01_IV01, S03,7,-4.442296917,40.71215505,-4.442297153,40.71216538,-4.442321155,40.71216507,-4.44232092,40.71215474
North_G01_IV01, S03,8,-4.442296682,40.71214473,-4.442296917,40.71215505,-4.44232092,40.71215474,-4.442320684,40.71214441
North_G01_IV01, S03,9,-4.442296446,40.7121344,-4.442296682,40.71214473,-4.442320684,40.71214441,-4.442320448,40.71213408
North_G01_IV01, S03,10,-4.44229621,40.71212407,-4.442296446,40.7121344,-4.442320448,40.71213408,-4.442320213,40.71212375
North_G01_IV01, S03,11,-4.442295975,40.71211374,-4.44229621,40.71212407,-4.442320213,40.71212375,-4.442319977,40.71211343
North_G01_IV01, S03,1,-4.44229821,40.71221849,-4.442298508,40.71222884,-4.442322508,40.71222844,-4.44232221,40.71221809
North_G01_IV01, S03,2,-4.442297911,40.71220815,-4.44229821,40.71221849,-4.44232221,40.71221809,-4.442321911,40.71220775
North_G01_IV01, S04,25,-4.44229927,40.71227008,-4.442299507,40.71228037,-4.44232351,40.71228005,-4.442323272,40.71226976
North_G01_IV01, S04,26,-4.442299032,40.71225979,-4.44229927,40.71227008,-4.442323272,40.71226976,-4.442323034,40.71225947
North_G01_IV01, S04,27,-4.442298794,40.7122495,-4.442299032,40.71225979,-4.442323034,40.71225947,-4.442322797,40.71224918
North_G01_IV01, S04,28,-4.442298557,40.71223921,-4.442298794,40.7122495,-4.442322797,40.71224918,-4.442322559,40.71223889
North_G01_IV01, S04,29,-4.442298319,40.71222892,-4.442298557,40.71223921,-4.442322559,40.71223889,-4.442322321,40.7122286
North_G01_IV01, S04,18,-4.442301604,40.71235799,-4.442301823,40.71236828,-4.442325825,40.71236799,-4.442325607,40.7123577
North_G01_IV01, S04,19,-4.442301386,40.7123477,-4.442301604,40.71235799,-4.442325607,40.7123577,-4.442325389,40.71234741
North_G01_IV01, S04,20,-4.442301168,40.71233741,-4.442301386,40.7123477,-4.442325389,40.71234741,-4.442325171,40.71233712
North_G01_IV01, S04,21,-4.44230095,40.71232712,-4.442301168,40.71233741,-4.442325171,40.71233712,-4.442324952,40.71232683
North_G01_IV01, S04,22,-4.442300731,40.71231683,-4.44230095,40.71232712,-4.442324952,40.71232683,-4.442324734,40.71231654
North_G01_IV01, S04,23,-4.442300513,40.71230654,-4.442300731,40.71231683,-4.442324734,40.71231654,-4.442324516,40.71230624
North_G01_IV01, S04,24,-4.442300295,40.71229625,-4.442300513,40.71230654,-4.442324516,40.71230624,-4.442324298,40.71229595
North_G01_IV01, S04,9,-4.442304201,40.71245228,-4.442304525,40.7124626,-4.442328521,40.71246216,-4.442328197,40.71245185
North_G01_IV01, S04,10,-4.442303877,40.71244197,-4.442304201,40.71245228,-4.442328197,40.71245185,-4.442327873,40.71244154
North_G01_IV01, S04,11,-4.442303553,40.71243166,-4.442303877,40.71244197,-4.442327873,40.71244154,-4.442327548,40.71243123
North_G01_IV01, S04,12,-4.442303229,40.71242135,-4.442303553,40.71243166,-4.442327548,40.71243123,-4.442327224,40.71242092
North_G01_IV01, S04,13,-4.442302904,40.71241104,-4.442303229,40.71242135,-4.442327224,40.71242092,-4.4423269,40.7124106
North_G01_IV01, S04,14,-4.44230258,40.71240073,-4.442302904,40.71241104,-4.4423269,40.7124106,-4.442326576,40.71240029
North_G01_IV01, S04,15,-4.442302256,40.71239041,-4.44230258,40.71240073,-4.442326576,40.71240029,-4.442326252,40.71238998
North_G01_IV01, S04,16,-4.442301932,40.7123801,-4.442302256,40.71239041,-4.442326252,40.71238998,-4.442325928,40.71237967
North_G01_IV01, S04,17,-4.442301608,40.71236979,-4.442301932,40.7123801,-4.442325928,40.71237967,-4.442325603,40.71236936
North_G01_IV01, S04,3,-4.442305627,40.71251557,-4.442305846,40.71252588,-4.442329851,40.71252559,-4.442329632,40.71251528
North_G01_IV01, S04,4,-4.442305408,40.71250526,-4.442305627,40.71251557,-4.442329632,40.71251528,-4.442329414,40.71250497
North_G01_IV01, S04,5,-4.44230519,40.71249496,-4.442305408,40.71250526,-4.442329414,40.71250497,-4.442329195,40.71249466
North_G01_IV01, S04,6,-4.442304971,40.71248465,-4.44230519,40.71249496,-4.442329195,40.71249466,-4.442328976,40.71248436
North_G01_IV01, S04,7,-4.442304753,40.71247434,-4.442304971,40.71248465,-4.442328976,40.71248436,-4.442328758,40.71247405
North_G01_IV01, S04,8,-4.442304534,40.71246404,-4.442304753,40.71247434,-4.442328758,40.71247405,-4.442328539,40.71246374
North_G01_IV01, S04,1,-4.442306375,40.71253786,-4.442306645,40.71254813,-4.442331111,40.71254776,-4.442330841,40.71253749
North_G01_IV01, S04,2,-4.442306105,40.71252758,-4.442306375,40.71253786,-4.442330841,40.71253749,-4.44233057,40.71252721
North_G01_IV01, S05,28,-4.442210197,40.71194074,-4.442210328,40.71195095,-4.442234333,40.71195077,-4.442234202,40.71194056
North_G01_IV01, S05,29,-4.442210066,40.71193052,-4.442210197,40.71194074,-4.442234202,40.71194056,-4.442234071,40.71193034
North_G01_IV01, S05,21,-4.44221213,40.71201427,-4.442212405,40.71202453,-4.442236406,40.71202416,-4.442236131,40.7120139
North_G01_IV01, S05,22,-4.442211855,40.712004,-4.44221213,40.71201427,-4.442236131,40.7120139,-4.442235856,40.71200363
North_G01_IV01, S05,23,-4.442211581,40.71199374,-4.442211855,40.712004,-4.442235856,40.71200363,-4.442235582,40.71199337
North_G01_IV01, S05,24,-4.442211306,40.71198347,-4.442211581,40.71199374,-4.442235582,40.71199337,-4.442235307,40.7119831
North_G01_IV01, S05,25,-4.442211031,40.71197321,-4.442211306,40.71198347,-4.442235307,40.7119831,-4.442235033,40.71197284
North_G01_IV01, S05,26,-4.442210757,40.71196294,-4.442211031,40.71197321,-4.442235033,40.71197284,-4.442234758,40.71196257
North_G01_IV01, S05,27,-4.442210482,40.71195267,-4.442210757,40.71196294,-4.442234758,40.71196257,-4.442234483,40.71195231
North_G01_IV01, S05,12,-4.442214076,40.71210822,-4.442214279,40.71211849,-4.442238282,40.71211822,-4.442238079,40.71210795
North_G01_IV01, S05,13,-4.442213873,40.71209796,-4.442214076,40.71210822,-4.442238079,40.71210795,-4.442237876,40.71209768
North_G01_IV01, S05,14,-4.442213669,40.71208769,-4.442213873,40.71209796,-4.442237876,40.71209768,-4.442237672,40.71208742
North_G01_IV01, S05,15,-4.442213466,40.71207742,-4.442213669,40.71208769,-4.442237672,40.71208742,-4.442237469,40.71207715
North_G01_IV01, S05,16,-4.442213262,40.71206716,-4.442213466,40.71207742,-4.442237469,40.71207715,-4.442237266,40.71206688
North_G01_IV01, S05,17,-4.442213059,40.71205689,-4.442213262,40.71206716,-4.442237266,40.71206688,-4.442237062,40.71205662
North_G01_IV01, S05,18,-4.442212856,40.71204662,-4.442213059,40.71205689,-4.442237062,40.71205662,-4.442236859,40.71204635
North_G01_IV01, S05,19,-4.442212652,40.71203635,-4.442212856,40.71204662,-4.442236859,40.71204635,-4.442236656,40.71203608
North_G01_IV01, S05,20,-4.442212449,40.71202609,-4.442212652,40.71203635,-4.442236656,40.71203608,-4.442236452,40.71202581
North_G01_IV01, S05,3,-4.44221639,40.71220278,-4.442216637,40.71221312,-4.442240639,40.71221279,-4.442240392,40.71220245
North_G01_IV01, S05,4,-4.442216144,40.71219244,-4.44221639,40.71220278,-4.442240392,40.71220245,-4.442240146,40.71219211
North_G01_IV01, S05,5,-4.442215897,40.7121821,-4.442216144,40.71219244,-4.442240146,40.71219211,-4.442239899,40.71218177
North_G01_IV01, S05,6,-4.442215651,40.71217175,-4.442215897,40.7121821,-4.442239899,40.71218177,-4.442239653,40.71217143
North_G01_IV01, S05,7,-4.442215404,40.71216141,-4.442215651,40.71217175,-4.442239653,40.71217143,-4.442239406,40.71216109
North_G01_IV01, S05,8,-4.442215158,40.71215107,-4.442215404,40.71216141,-4.442239406,40.71216109,-4.44223916,40.71215074
North_G01_IV01, S05,9,-4.442214911,40.71214073,-4.442215158,40.71215107,-4.44223916,40.71215074,-4.442238914,40.7121404
North_G01_IV01, S05,10,-4.442214665,40.71213039,-4.442214911,40.71214073,-4.442238914,40.7121404,-4.442238667,40.71213006
North_G01_IV01, S05,11,-4.442214419,40.71212005,-4.442214665,40.71213039,-4.442238667,40.71213006,-4.442238421,40.71211972
North_G01_IV01, S05,1,-4.442216903,40.71222473,-4.442217034,40.71223508,-4.442241039,40.7122349,-4.442240908,40.71222456
North_G01_IV01, S05,2,-4.442216772,40.71221439,-4.442216903,40.71222473,-4.442240908,40.71222456,-4.442240777,40.71221422
North_G01_IV01, S06,23,-4.442218454,40.71229682,-4.442218672,40.71230712,-4.442242675,40.71230683,-4.442242457,40.71229653
North_G01_IV01, S06,24,-4.442218236,40.71228652,-4.442218454,40.71229682,-4.442242457,40.71229653,-4.442242239,40.71228623
North_G01_IV01, S06,25,-4.442218017,40.71227622,-4.442218236,40.71228652,-4.442242239,40.71228623,-4.44224202,40.71227593
North_G01_IV01, S06,26,-4.442217799,40.71226592,-4.442218017,40.71227622,-4.44224202,40.71227593,-4.442241802,40.71226563
North_G01_IV01, S06,27,-4.442217581,40.71225562,-4.442217799,40.71226592,-4.442241802,40.71226563,-4.442241584,40.71225533
North_G01_IV01, S06,28,-4.442217363,40.71224532,-4.442217581,40.71225562,-4.442241584,40.71225533,-4.442241366,40.71224503
North_G01_IV01, S06,29,-4.442217144,40.71223502,-4.442217363,40.71224532,-4.442241366,40.71224503,-4.442241147,40.71223473
North_G01_IV01, S06,16,-4.442220015,40.71237029,-4.442220245,40.71238055,-4.442244247,40.71238025,-4.442244018,40.71236998
North_G01_IV01, S06,17,-4.442219786,40.71236002,-4.442220015,40.71237029,-4.442244018,40.71236998,-4.442243788,40.71235972
North_G01_IV01, S06,18,-4.442219556,40.71234976,-4.442219786,40.71236002,-4.442243788,40.71235972,-4.442243559,40.71234945
North_G01_IV01, S06,19,-4.442219327,40.71233949,-4.442219556,40.71234976,-4.442243559,40.71234945,-4.442243329,40.71233918
North_G01_IV01, S06,20,-4.442219097,40.71232923,-4.442219327,40.71233949,-4.442243329,40.71233918,-4.4422431,40.71232892
North_G01_IV01, S06,21,-4.442218868,40.71231896,-4.442219097,40.71232923,-4.4422431,40.71232892,-4.442242871,40.71231865
North_G01_IV01, S06,22,-4.442218639,40.7123087,-4.442218868,40.71231896,-4.442242871,40.71231865,-4.442242641,40.71230839
North_G01_IV01, S06,9,-4.442222015,40.71245831,-4.44222223,40.71246859,-4.442246245,40.7124683,-4.44224603,40.71245802
North_G01_IV01, S06,10,-4.4422218,40.71244803,-4.442222015,40.71245831,-4.44224603,40.71245802,-4.442245815,40.71244774
North_G01_IV01, S06,11,-4.442221585,40.71243775,-4.4422218,40.71244803,-4.442245815,40.71244774,-4.4422456,40.71243746
North_G01_IV01, S06,12,-4.44222137,40.71242747,-4.442221585,40.71243775,-4.4422456,40.71243746,-4.442245385,40.71242719
North_G01_IV01, S06,13,-4.442221155,40.7124172,-4.44222137,40.71242747,-4.442245385,40.71242719,-4.44224517,40.71241691
North_G01_IV01, S06,14,-4.44222094,40.71240692,-4.442221155,40.7124172,-4.44224517,40.71241691,-4.442244955,40.71240663
North_G01_IV01, S06,15,-4.442220725,40.71239664,-4.44222094,40.71240692,-4.442244955,40.71240663,-4.44224474,40.71239635
North_G01_IV01, S06,1,-4.442224162,40.71254259,-4.442224402,40.71255286,-4.442248405,40.71255254,-4.442248164,40.71254226
North_G01_IV01, S06,2,-4.442223921,40.71253231,-4.442224162,40.71254259,-4.442248164,40.71254226,-4.442247924,40.71253199
North_G01_IV01, S06,3,-4.442223681,40.71252203,-4.442223921,40.71253231,-4.442247924,40.71253199,-4.442247683,40.71252171
North_G01_IV01, S06,4,-4.44222344,40.71251175,-4.442223681,40.71252203,-4.442247683,40.71252171,-4.442247443,40.71251143
North_G01_IV01, S06,5,-4.4422232,40.71250148,-4.44222344,40.71251175,-4.442247443,40.71251143,-4.442247202,40.71250115
North_G01_IV01, S06,6,-4.442222959,40.7124912,-4.4422232,40.71250148,-4.442247202,40.71250115,-4.442246962,40.71249088
North_G01_IV01, S06,7,-4.442222719,40.71248092,-4.442222959,40.7124912,-4.442246962,40.71249088,-4.442246721,40.7124806
North_G01_IV01, S06,8,-4.442222478,40.71247065,-4.442222719,40.71248092,-4.442246721,40.7124806,-4.442246481,40.71247032
North_G01_IV01, S07,29,-4.442224485,40.71255299,-4.442224747,40.71256326,-4.442248748,40.7125629,-4.442248487,40.71255264
North_G01_IV01, S07,20,-4.442226518,40.71264699,-4.44222671,40.71265728,-4.442250714,40.71265702,-4.442250521,40.71264673
North_G01_IV01, S07,21,-4.442226325,40.7126367,-4.442226518,40.71264699,-4.442250521,40.71264673,-4.442250329,40.71263644
North_G01_IV01, S07,22,-4.442226133,40.7126264,-4.442226325,40.7126367,-4.442250329,40.71263644,-4.442250136,40.71262615
North_G01_IV01, S07,23,-4.44222594,40.71261611,-4.442226133,40.7126264,-4.442250136,40.71262615,-4.442249944,40.71261585
North_G01_IV01, S07,24,-4.442225747,40.71260582,-4.44222594,40.71261611,-4.442249944,40.71261585,-4.442249751,40.71260556
North_G01_IV01, S07,25,-4.442225555,40.71259553,-4.442225747,40.71260582,-4.442249751,40.71260556,-4.442249558,40.71259527
North_G01_IV01, S07,26,-4.442225362,40.71258524,-4.442225555,40.71259553,-4.442249558,40.71259527,-4.442249366,40.71258498
North_G01_IV01, S07,27,-4.44222517,40.71257495,-4.442225362,40.71258524,-4.442249366,40.71258498,-4.442249173,40.71257469
North_G01_IV01, S07,28,-4.442224977,40.71256465,-4.44222517,40.71257495,-4.442249173,40.71257469,-4.442248981,40.7125644
North_G01_IV01, S07,11,-4.442228795,40.7127411,-4.442229041,40.71275137,-4.442253043,40.71275104,-4.442252797,40.71274077
North_G01_IV01, S07,12,-4.442228548,40.71273082,-4.442228795,40.7127411,-4.442252797,40.71274077,-4.44225255,40.71273049
North_G01_IV01, S07,13,-4.442228302,40.71272055,-4.442228548,40.71273082,-4.44225255,40.71273049,-4.442252304,40.71272022
North_G01_IV01, S07,14,-4.442228055,40.71271027,-4.442228302,40.71272055,-4.442252304,40.71272022,-4.442252057,40.71270994
North_G01_IV01, S07,15,-4.442227809,40.7127,-4.442228055,40.71271027,-4.442252057,40.71270994,-4.442251811,40.71269966
North_G01_IV01, S07,16,-4.442227563,40.71268972,-4.442227809,40.7127,-4.442251811,40.71269966,-4.442251565,40.71268939
North_G01_IV01, S07,17,-4.442227316,40.71267945,-4.442227563,40.71268972,-4.442251565,40.71268939,-4.442251318,40.71267911
North_G01_IV01, S07,18,-4.44222707,40.71266917,-4.442227316,40.71267945,-4.442251318,40.71267911,-4.442251072,40.71266884
North_G01_IV01, S07,19,-4.442226823,40.71265889,-4.44222707,40.71266917,-4.442251072,40.71266884,-4.442250825,40.71265856
North_G01_IV01, S07,3,-4.442231128,40.71282517,-4.442231399,40.71283548,-4.4422554,40.71283511,-4.442255129,40.71282481
North_G01_IV01, S07,4,-4.442230857,40.71281487,-4.442231128,40.71282517,-4.442255129,40.71282481,-4.442254858,40.71281451
North_G01_IV01, S07,5,-4.442230586,40.71280457,-4.442230857,40.71281487,-4.442254858,40.71281451,-4.442254587,40.7128042
North_G01_IV01, S07,6,-4.442230315,40.71279426,-4.442230586,40.71280457,-4.442254587,40.7128042,-4.442254316,40.7127939
North_G01_IV01, S07,7,-4.442230044,40.71278396,-4.442230315,40.71279426,-4.442254316,40.7127939,-4.442254045,40.7127836
North_G01_IV01, S07,8,-4.442229773,40.71277366,-4.442230044,40.71278396,-4.442254045,40.7127836,-4.442253774,40.7127733
North_G01_IV01, S07,9,-4.442229502,40.71276336,-4.442229773,40.71277366,-4.442253774,40.7127733,-4.442253503,40.71276299
North_G01_IV01, S07,10,-4.442229231,40.71275305,-4.442229502,40.71276336,-4.442253503,40.71276299,-4.442253233,40.71275269
North_G01_IV01, S07,1,-4.442231825,40.71284736,-4.442232124,40.71285757,-4.442256124,40.71285717,-4.442255825,40.71284695
North_G01_IV01, S07,2,-4.442231527,40.71283714,-4.442231825,40.71284736,-4.442255825,40.71284695,-4.442255527,40.71283674
North_G01_IV01, S08,28,-4.442127889,40.71194746,-4.442128188,40.71195767,-4.442152188,40.71195727,-4.44215189,40.71194705
North_G01_IV01, S08,29,-4.442127591,40.71193724,-4.442127889,40.71194746,-4.44215189,40.71194705,-4.442151591,40.71193684
North_G01_IV01, S08,21,-4.442129913,40.7120208,-4.442130176,40.71203105,-4.442154178,40.71203069,-4.442153915,40.71202044
North_G01_IV01, S08,22,-4.44212965,40.71201055,-4.442129913,40.7120208,-4.442153915,40.71202044,-4.442153651,40.71201019
North_G01_IV01, S08,23,-4.442129386,40.7120003,-4.44212965,40.71201055,-4.442153651,40.71201019,-4.442153388,40.71199995
North_G01_IV01, S08,24,-4.442129123,40.71199005,-4.442129386,40.7120003,-4.442153388,40.71199995,-4.442153125,40.7119897
North_G01_IV01, S08,25,-4.44212886,40.7119798,-4.442129123,40.71199005,-4.442153125,40.7119897,-4.442152861,40.71197945
